SKU,Source,Title,Description,Price,Number of Reviews and rating
5326288985,Walmart,"Bose QuietComfort Ultra Headphones II, Bluetooth Over Ear Noise Cancelling Headphones, Black",Walmart Product,$164.95,"Rating: 4.5, Reviews: 22,470"
17045262072,Walmart,Loicainy Baby Toddler Girls Long Sleeve Jumpsuit 3 6 9 12 18 Months Floral Print Fake Two Pieces Patchwork Bow Romper and Cute Headband Set,Walmart Product,$12.99,"Rating: 4.7, Reviews: 820"
B01LR5S6HK,Amazon,"amazon basics Neoprene Dumbbells, Set Of 2, (4.5 Kgs Each ) - Navy Blue",Amazon Product,"₹2,389",Rating: 4.3
B0CT4BB651,Amazon,"Stanley IceFlow Stainless Steel Tumbler with Straw - Vacuum Insulated Water Bottle for Home, Reusable Cup with Straw Leakproof Flip - Cold for 12 Hours or Iced for 2 Days, 30 Oz, Lilac",Amazon Product,"₹16,040.90",Rating: 4.7
435337138,Walmart,"Aireolux 100% Cotton Egyptian 1000 Thread Count King Bed Sheet Set – 4-Piece Silky Sateen, Deep Pocket, Super Soft & Breathable, Green by Linen Closet",Walmart Product,$84.99,"Rating: 4.7, Reviews: 400"
19127002050,Walmart,"NICEBAY Hair Dryer Brush, Blow Dryer Brush, Curly, Dry, Oval Hot Air Brush with Air Curling Iron",Walmart Product,$59.89,"Rating: 4.8, Reviews: 2,323"
10970652792,Walmart,"48-Piece Silverware Set with Organizer, Stainless Steel Silverware Flatware Set for 8, Kitchen Utensils with Steak Knives, Mirror Polished Dinner Knife, Forks, Spoons, Tableware Serving Tray",Walmart Product,$29.99,"Rating: 4.8, Reviews: 414"
17523261689,Walmart,"5HP Foldable Treadmill for Home w/ 15% Auto Incline, 400lbs Capacity, 10MPH Portable Treadmill, 64+7 Programs, Personalized Workout with APP,  Running Walking treadmill",Walmart Product,$199.99,"Rating: 4.7, Reviews: 550"
1553775416,Walmart,"Loritta 5 Pairs Warm Wool Socks for Women, Thick Knit Thermal Crew Winter Warm Socks Size 5-9",Walmart Product,$9.69,"Rating: 4.7, Reviews: 664"
16402301141,Walmart,"AN Supps Essential PRE Workout Powder Pineapple Strawberry, 200mg Caffeine, No Sugar, Vegan, Gluten & Soy Free, Chiquita® Natural Flavor, Pre-Workout Energy Drink – 30 Servings",Walmart Product,$22.97,"Rating: 4.5, Reviews: 94"
14551419,Walmart,"Bio Ionic Graphene MX Hair Dryer, Powerful 1875W Motor, Lightweight, Professional Hair Dryer",Walmart Product,$10.97,"Rating: 4.5, Reviews: 5,729"
12385200517,Walmart,"Black + Decker 2-Slice Toaster, Extra-Wide Self-Centering Slots, Stainless Steel",Walmart Product,$39.99,"Rating: 4.7, Reviews: 1,706"
15813024789,Walmart,"Whiskey Glasses 10 oz Set of 10, Bulk Pack - Perfect for Scotch, Bourbon, Whiskey, Cocktail - Black",Walmart Product,$25.99,"Rating: 4.9, Reviews: 692"
113202282,Walmart,"Marketside Pizza Ranch Chopped Salad Kit, 12.6 oz Bag",Walmart Product,$3.37,"Rating: 4.4, Reviews: 921"
162577028,Walmart,"Dole Good Crunch Original Pineapple Bites, Made with All Natural Fruit, 1.4 oz",Walmart Product,$0.83,"Rating: 4.0, Reviews: 10.1K"
122730097,Walmart,"InnovAsian Crispy Honey Chicken, 36 oz (Frozen Meal)",Walmart Product,$5.87,"Rating: 4.6, Reviews: 5,310"
853001102,Walmart,"Little Bites Chocolate Chip Muffins, 10 packs, Real Chocolate Mini Muffins, 16.5 oz Multipack",Walmart Product,$4.48,"Rating: 4.3, Reviews: 1,000"
37858875,Walmart,"Nature's Own Sourdough, Half Loaf, Sliced Sourdough Sandwich Bread, 12 oz Loaf",Walmart Product,$2.47,"Rating: 4.4, Reviews: 12.3K"
15682669104,Walmart,"Realgood Foods Co. Lightly Breaded Chicken Breast Fillets, 20 oz Bag (Frozen)",Walmart Product,$7.94,"Rating: 4.4, Reviews: 3,775"
5014959803,Walmart,"Black Burgundy Red Rose Bouquet Building Set, Compatible with Lego Flowers for Adults - Christmas Botanical Collection - Gothic Artificial Flowers Home Decor",Walmart Product,$55.58,"Rating: 4.7, Reviews: 1,523"
17143768469,Walmart,"Squishmallows Original 10-Inch Walsh The Valentine's Day Rose - Official Jazwares Valentines Day Plush - Collectible Soft & Squishy Flower Stuffed Animal Toy - Gift for Kids, Girls & Boys",Walmart Product,$19.97,"Rating: 5.0, Reviews: 11"
630562428,Walmart,"Feastables MrBeast Peanut Butter Milk Chocolate Bar, 2.1 oz (60g), 1 Count",Walmart Product,$4.97,"Rating: 4.7, Reviews: 1,487"
17732824958,Walmart,"Hallmark Funny Valentine's Day Card (Really, Really Like You)",Walmart Product,$2.74,"Rating: 5.0, Reviews: 2"
18332664128,Walmart,Marvel Spider-Man 16 Pack Valentine's Day Exchange Cards with Vinyl Stickers,Walmart Product,$3.88,"Rating: 4.9, Reviews: 123"
17260652268,Walmart,"2PCS Valentines Heart Shaped Topiary 30'' Artificial Snowman Shaped Topiary Tree Pot with Bow Tie Boxwood Topiaries for Valentine's Day Indoor Outdoor Home Porch Decor, Valentines Gift",Walmart Product,$45.00,"Rating: 4.7, Reviews: 123"
17620961573,Walmart,Hallmark Minecraft Valentine's Day Card for Kids (Explosion of Fun),Walmart Product,$3.97,"Rating: 4.8, Reviews: 24"
17046952653,Walmart,"GUSTO 9 Inch Paper Plates Bulk Pack White Disposable Plates Heavy Duty, 500-Pack",Walmart Product,$2.48,"Rating: 4.9, Reviews: 16"
